time,x,y,z,yaw
163645089.904846996068954,-25963.429479999998875,-93057.526180000000750,-5.514300000000000,1.992770000000000
163645090.003847002983093,-25964.112300000000687,-93056.005449999996927,-5.550370000000000,1.992840000000000
163645090.104847013950348,-25964.795109999999113,-93054.484710000004270,-5.587940000000000,1.992800000000000
163645090.204847007989883,-25965.478029999998398,-93052.964019999999437,-5.627960000000000,1.993050000000000
163645090.303846001625061,-25966.161800000001676,-93051.443700000003446,-5.666690000000000,1.993820000000000
163645090.404846012592316,-25966.846839999998338,-93049.923970000003465,-5.701330000000000,1.994620000000000
163645090.504846006631851,-25967.532780000001367,-93048.404630000004545,-5.734530000000000,1.995050000000000
163645090.604846000671387,-25968.219410000001517,-93046.885609999997541,-5.769780000000000,1.995670000000000
163645090.704845994710922,-25968.907749999998487,-93045.367360000003828,-5.806600000000000,1.997240000000000
163645090.803846001625061,-25969.599269999998796,-93043.850560000006226,-5.843480000000000,1.999750000000000
163645090.904846012592316,-25970.295150000001740,-93042.335749999998370,-5.878480000000000,2.002860000000000
163645091.003845989704132,-25970.995969999999943,-93040.823239999997895,-5.910320000000000,2.006240000000000
163645091.103846013545990,-25971.702219999999215,-93039.313250000006519,-5.941300000000000,2.010070000000000
163645091.203846007585526,-25972.414949999998498,-93037.806309999999939,-5.973070000000000,2.014750000000000
163645091.304845005273819,-25973.135220000000118,-93036.302949999997509,-6.001700000000000,2.019930000000000
163645091.403845012187958,-25973.863219999999274,-93034.803329999995185,-6.022590000000000,2.025010000000000
163645091.503845006227493,-25974.598669999999402,-93033.307339999999385,-6.036500000000000,2.029910000000000
163645091.603845000267029,-25975.341430000000400,-93031.814970000006724,-6.048530000000000,2.034830000000000
163645091.704845011234283,-25976.091619999999239,-93030.326329999996233,-6.064260000000000,2.039860000000000
163645091.803844988346100,-25976.849220000000059,-93028.841430000000400,-6.084970000000000,2.044740000000000
163645091.903845012187958,-25977.613669999998820,-93027.360060000006342,-6.105320000000000,2.049120000000000
163645092.003845006227493,-25978.384279999998398,-93025.881880000000820,-6.117070000000000,2.053180000000000
163645092.104844987392426,-25979.160830000000715,-93024.406820000003790,-6.118030000000000,2.057170000000000
163645092.205844998359680,-25979.943149999999150,-93022.934779999995953,-6.115640000000000,2.060990000000000
163645092.303844988346100,-25980.730920000001788,-93021.465670000005048,-6.117610000000000,2.064640000000000
163645092.405844002962112,-25981.523969999998371,-93019.999389999997220,-6.123790000000000,2.068180000000000
163645092.504844009876251,-25982.322039999999106,-93018.535860000003595,-6.129060000000000,2.071480000000000
163645092.604844003915787,-25983.124660000001313,-93017.074800000002142,-6.129840000000000,2.074420000000000
163645092.705844014883041,-25983.931280000000697,-93015.615969999998924,-6.126210000000000,2.077020000000000
163645092.804843991994858,-25984.741450000001350,-93014.159090000001015,-6.120880000000000,2.079320000000000
163645092.904843986034393,-25985.554820000001200,-93012.703980000005686,-6.116040000000000,2.081460000000000
163645093.004844009876251,-25986.371390000000247,-93011.250669999993988,-6.111380000000000,2.083790000000000
163645093.104844003915787,-25987.191640000000916,-93009.799440000002505,-6.105930000000000,2.086470000000000
163645093.204843997955322,-25988.015770000001794,-93008.350399999995716,-6.099320000000000,2.089030000000000
163645093.304843991994858,-25988.843089999998483,-93006.903200000000652,-6.091930000000000,2.090900000000000
